Date,Price,Vol.
2002-06-21,495.00,37670
2002-06-24,505.25,40330
2002-06-25,503.25,31860
2002-06-26,514.00,30310
2002-06-27,522.00,29600
2002-06-28,536.50,12800
2002-07-01,549.50,9240
2002-07-02,544.25,10220
2002-07-03,556.50,6480
2002-07-05,569.75,5740
2002-07-08,573.50,5850
2002-07-09,587.50,2390
2002-07-10,584.50,3260
2002-07-11,576.50,1460
2002-07-12,578.00,620
2002-07-15,570.00,17480
2002-07-16,579.75,18810
2002-07-17,576.75,19400
2002-07-18,577.50,17980
2002-07-19,575.25,15700
2002-07-22,593.75,17830
2002-07-23,576.00,15550
2002-07-24,584.00,16360
2002-07-25,567.75,14640
2002-07-26,550.75,23020
2002-07-29,534.75,15580
2002-07-30,544.50,16800
2002-07-31,567.50,10860
2002-08-01,568.50,6630
2002-08-02,561.25,4170
2002-08-05,559.25,2330
2002-08-06,564.75,2030
2002-08-07,560.00,2830
2002-08-08,557.75,2380
2002-08-09,568.00,1100
2002-08-12,590.50,1310
2002-08-13,593.25,1080
2002-08-14,602.00,530
2002-08-15,592.25,11370
2002-08-16,583.25,6340
2002-08-19,569.00,8630
2002-08-20,551.75,10670
2002-08-21,554.25,17680
2002-08-22,548.00,10920
2002-08-23,552.00,7340
2002-08-26,553.75,6140
2002-08-27,562.75,6490
2002-08-28,559.50,9800
2002-08-29,555.25,4770
2002-08-30,559.00,4040
2002-09-03,559.75,4360
2002-09-04,563.25,1950
2002-09-05,565.50,2690
2002-09-06,565.00,2750
2002-09-09,573.50,2060
2002-09-10,581.00,2330
2002-09-11,591.50,1760
2002-09-12,578.00,2150
2002-09-13,563.50,1070
2002-09-16,572.50,35690
2002-09-17,573.00,26280
2002-09-18,572.00,34160
2002-09-19,564.00,33970
2002-09-20,564.50,35490
2002-09-23,553.25,35350
2002-09-24,561.75,31350
2002-09-25,558.75,29160
2002-09-26,565.50,28450
2002-09-27,560.25,33280
2002-09-30,545.75,55290
2002-10-01,542.00,44370
2002-10-02,537.50,42520
2002-10-03,538.00,40820
2002-10-04,539.50,32420
